Sentence_Index,Tokens,Predicted_NER_Tags
0,I,O
0,am,O
0,looking,O
0,for,O
0,a,O
0,black,I-COLOUR
0,gloss,I-SIZE
0,33,I-SIZE
0,inch,I-SIZE
0,fireclay,I-ATTRIBUTE
0,apron,I-ATTRIBUTE
0,sink,I-ATTRIBUTE
1,Looking,O
1,for,O
1,pre,I-PRODUCT
1,workout,I-PRODUCT
1,Pump,I-PRODUCT
1,addict,I-PRODUCT
1,instead,O
1,of,O
1,Karbolyn,O
1,Hydrate,O
1,Wich,O
1,one,O
1,is,O
1,better?,O
2,i,O
2,need,O
2,a,O
2,48,I-SIZE
2,inch,I-SIZE
2,glass,I-MATERIAL
2,sliding,I-ATTRIBUTE
2,goof,I-ATTRIBUTE
2,and,O
2,a,O
2,shower,I-PRODUCT
2,pan,I-PRODUCT
2,system,I-PRODUCT
2,for,O
2,500.99,I-SIZE
2,or,O
2,less,O
3,"Hello,",O
3,do,O
3,any,O
3,of,O
3,your,O
3,free,O
3,standing,O
3,tubs,O
3,have,O
3,a,O
3,matte,I-COLOUR
3,white,I-COLOUR
3,finish,I-ATTRIBUTE
3,instead,O
3,of,O
3,a,O
3,glossy,I-ATTRIBUTE
3,finish?,I-ATTRIBUTE
4,I'm,O
4,looking,O
4,for,O
4,a,O
4,24,I-SIZE
4,inch,I-SIZE
4,white,I-COLOUR
4,mirror,I-PRODUCT
4,that,O
4,is,O
4,freestanding,I-ATTRIBUTE
4,and,O
4,reasonably,O
4,priced.,O
5,Does,O
5,the,O
5,linen,O
5,add,O
5,cotton,I-PRODUCT
5,duvet,I-PRODUCT
5,cover,I-PRODUCT
5,come,O
5,in,O
5,King?,O
5,I,O
5,saw,O
5,it,O
5,in,O
5,the,O
5,store,O
5,but,O
5,I,O
5,don't,O
5,see,O
5,the,O
5,king,O
5,size,O
5,online,O
5,?,O
6,Hi,O
6,there.,O
6,I'm,O
6,looking,O
6,to,O
6,buy,O
6,some,O
6,throw,I-PRODUCT
6,blankets.,I-PRODUCT
6,Your,O
6,website,O
6,states,O
6,that,O
6,the,O
6,underside,I-ATTRIBUTE
6,of,O
6,the,O
6,Boucle,I-ATTRIBUTE
6,wool-like,I-ATTRIBUTE
6,throw,O
6,is,O
6,very,O
6,soft.,O
6,I,O
6,would,O
6,like,O
6,to,O
6,know,O
6,if,O
6,the,O
6,wool-like,O
6,top,O
6,side,O
6,is,O
6,soft,O
6,as,O
6,"well,",O
6,or,O
6,if,O
6,it,O
6,is,O
6,scratchy.,O
6,I,O
6,have,O
6,hypersensitive,O
6,skin,O
6,and,O
6,need,O
6,a,O
6,blanket,I-ATTRIBUTE
6,that,O
6,will,O
6,not,O
6,irritate,O
6,me.,O
6,Thanks.,O
7,Long,O
7,Sherpa,I-PRODUCT
7,jacket,I-PRODUCT
7,dark,I-PRODUCT
7,brown,I-PRODUCT
7,why,O
7,can't,O
7,I,O
7,find,O
7,it?,O
8,Hello.,O
8,I'm,O
8,looking,O
8,for,O
8,a,O
8,soft,O
8,Open,O
8,face,O
8,cardigan,O
8,w,O
8,no,O
8,buttons.,I-ATTRIBUTE
9,hi,O
9,do,O
9,you,O
9,carry,O
9,any,O
9,oval,O
9,tubs,O
9,in,O
9,a,O
9,matte,I-COLOUR
9,white,I-COLOUR
9,finish,I-COLOUR
9,or,O
9,not,O
9,too,O
9,much,O
9,of,O
9,gloss?,O
9,i,O
9,know,O
9,they,O
9,make,O
9,solid,O
9,surface,O
9,but,O
9,higher,O
9,prices.,O
9,thank,O
9,you,O
10,Do,O
10,you,O
10,not,O
10,have,O
10,alcove,I-PRODUCT
10,shower,I-PRODUCT
10,walls?,I-PRODUCT
11,Hi,O
11,I'm,O
11,considering,O
11,a,O
11,bathtub,I-PRODUCT
11,swivel,I-PRODUCT
11,panel.,I-PRODUCT
11,I,O
11,assume,O
11,it,O
11,doesn't,O
11,matter,O
11,which,O
11,way,O
11,the,O
11,bathtub,O
11,is,O
11,facing?,O
12,looking,O
12,for,O
12,a,O
12,alcove,I-PRODUCT
12,shower,I-PRODUCT
12,base,I-PRODUCT
12,.,O
12,not,O
12,so,O
12,much,O
12,$,O
12,lol,O
13,Do,O
13,you,O
13,have,O
13,a,O
13,vanity,I-PRODUCT
13,tops,O
13,or,O
13,wall,I-ATTRIBUTE
13,mount,I-ATTRIBUTE
13,sink,I-PRODUCT
13,without,O
13,faucet,I-ATTRIBUTE
13,holes?,I-ATTRIBUTE
14,Hi!!,O
14,I'm,O
14,looking,O
14,for,O
14,a,O
14,"60""",I-SIZE
14,wide,I-SIZE
14,tub,I-PRODUCT
14,but,O
14,a,O
14,soaker,I-PRODUCT
14,type,I-PRODUCT
14,thats,I-PRODUCT
14,deeper,I-PRODUCT
14,than,O
14,a,O
14,regular,O
14,tub,O
14,do,O
14,you,O
14,have,O
14,this,O
14,type?,O
14,I,O
14,don't,O
14,see,O
14,anything,O
14,deep,O
14,enough,O
14,on,O
14,your,O
14,site,O
15,Ok,O
15,thanks.,O
15,I'm,O
15,looking,O
15,for,O
15,a,O
15,pure,O
15,white,O
15,alcove,O
15,"bathtub,",O
15,not,O
15,American,O
15,standard,I-ATTRIBUTE
15,or,O
15,any,O
15,off,O
15,whites.,O
15,Is,O
15,there,O
15,one,O
15,you,O
15,could,O
15,recommend,O
16,"Hi,",O
16,Do,O
16,you,O
16,have,O
16,a,O
16,navy,O
16,mirror,O
16,size,I-SIZE
16,60x31.,I-SIZE
16,You,O
16,have,O
16,it,O
16,for,O
16,the,O
16,gold,O
16,and,O
16,black,O
16,but,O
16,i,O
16,don't,O
16,want,O
16,it,O
16,for,O
16,the,O
16,navy.,O
17,"Hi,",O
17,I,O
17,am,O
17,looking,O
17,for,O
17,a,O
17,floating,I-ATTRIBUTE
17,vanity,I-PRODUCT
17,with,O
17,integrated,I-ATTRIBUTE
17,sink,I-ATTRIBUTE
17,&,I-ATTRIBUTE
17,counter,I-PRODUCT
17,top,I-PRODUCT
17,with,O
17,no,O
17,drill,I-ATTRIBUTE
17,holes,O
17,for,O
17,the,O
17,faucet,I-PRODUCT
17,as,O
17,our,O
17,faucets,O
17,are,O
17,wall,I-ATTRIBUTE
17,mounted.,I-ATTRIBUTE
17,Do,O
17,you,O
17,sell,O
17,theM,O
18,I,O
18,am,O
18,looking,O
18,for,O
18,soaker,I-PRODUCT
18,tub,I-PRODUCT
18,but,O
18,do,O
18,not,O
18,want,O
18,stand,O
18,alone.,O
18,I,O
18,am,O
18,replacing,O
18,my,O
18,oval,O
18,jacuzzi,O
19,Where,O
19,is,O
19,the,O
19,mirror,O
19,on,O
19,here.,O
19,I,O
19,don't,O
19,want,O
19,linen,I-PRODUCT
19,cabinet,I-PRODUCT
20,"Hello,",O
20,I,O
20,need,O
20,a,O
20,standup,I-ATTRIBUTE
20,shower,I-PRODUCT
20,door,I-PRODUCT
20,"only,",O
20,no,O
