Sentence_Index,Tokens,Predicted_NER_Tags,Predicted_Negation
0,I,O,False
0,am,O,False
0,looking,O,False
0,for,O,False
0,a,O,False
0,black,I-COLOUR,False
0,gloss,I-SIZE,False
0,33,I-SIZE,False
0,inch,I-SIZE,False
0,fireclay,I-ATTRIBUTE,False
0,apron,I-ATTRIBUTE,False
0,sink,I-ATTRIBUTE,False
1,Looking,O,False
1,for,O,False
1,pre,I-PRODUCT,False
1,workout,I-PRODUCT,False
1,Pump,I-PRODUCT,False
1,addict,I-PRODUCT,False
1,instead,O,False
1,of,O,False
1,Karbolyn,O,False
1,Hydrate,O,False
1,Wich,O,False
1,one,O,False
1,is,O,False
1,better?,O,False
2,i,O,False
2,need,O,False
2,a,O,False
2,48,I-SIZE,False
2,inch,I-SIZE,False
2,glass,I-MATERIAL,False
2,sliding,I-ATTRIBUTE,False
2,goof,I-ATTRIBUTE,False
2,and,O,False
2,a,O,False
2,shower,I-PRODUCT,False
2,pan,I-PRODUCT,False
2,system,I-PRODUCT,False
2,for,O,False
2,500.99,I-SIZE,False
2,or,O,False
2,less,O,False
3,"Hello,",O,False
3,do,O,False
3,any,O,False
3,of,O,False
3,your,O,False
3,free,O,False
3,standing,O,False
3,tubs,O,False
3,have,O,False
3,a,O,False
3,matte,I-COLOUR,False
3,white,I-COLOUR,False
3,finish,I-ATTRIBUTE,False
3,instead,O,False
3,of,O,False
3,a,O,False
3,glossy,I-ATTRIBUTE,False
3,finish?,I-ATTRIBUTE,False
4,I'm,O,False
4,looking,O,False
4,for,O,False
4,a,O,False
4,24,I-SIZE,False
4,inch,I-SIZE,False
4,white,I-COLOUR,False
4,mirror,I-PRODUCT,False
4,that,O,False
4,is,O,False
4,freestanding,I-ATTRIBUTE,False
4,and,O,False
4,reasonably,O,False
4,priced.,O,False
5,Does,O,False
5,the,O,False
5,linen,O,False
5,add,O,False
5,cotton,I-PRODUCT,False
5,duvet,I-PRODUCT,False
5,cover,I-PRODUCT,False
5,come,O,False
5,in,O,False
5,King?,O,False
5,I,O,False
5,saw,O,False
5,it,O,False
5,in,O,False
5,the,O,False
5,store,O,False
5,but,O,False
5,I,O,False
5,don't,O,False
5,see,O,True
5,the,O,True
5,king,O,True
5,size,O,True
5,online,O,True
5,?,O,False
6,Hi,O,False
6,there.,O,False
6,I'm,O,False
6,looking,O,False
6,to,O,False
6,buy,O,False
6,some,O,False
6,throw,I-PRODUCT,False
6,blankets.,I-PRODUCT,False
6,Your,O,False
6,website,O,False
6,states,O,False
6,that,O,False
6,the,O,False
6,underside,I-ATTRIBUTE,False
6,of,O,False
6,the,O,False
6,Boucle,I-ATTRIBUTE,False
6,wool-like,I-ATTRIBUTE,False
6,throw,O,False
6,is,O,False
6,very,O,False
6,soft.,O,False
6,I,O,False
6,would,O,False
6,like,O,False
6,to,O,False
6,know,O,False
6,if,O,False
6,the,O,False
6,wool-like,O,False
6,top,O,False
6,side,O,False
6,is,O,False
6,soft,O,False
6,as,O,False
6,"well,",O,False
6,or,O,False
6,if,O,False
6,it,O,False
6,is,O,False
6,scratchy.,O,False
6,I,O,False
6,have,O,False
6,hypersensitive,O,False
6,skin,O,False
6,and,O,False
6,need,O,False
6,a,O,False
6,blanket,I-ATTRIBUTE,False
6,that,O,False
6,will,O,False
6,not,O,False
6,irritate,O,True
6,me.,O,True
6,Thanks.,O,False
7,Long,O,False
7,Sherpa,I-PRODUCT,False
7,jacket,I-PRODUCT,False
7,dark,I-PRODUCT,False
7,brown,I-PRODUCT,False
7,why,O,False
7,can't,O,False
7,I,O,True
7,find,O,True
7,it?,O,True
8,Hello.,O,False
8,I'm,O,False
8,looking,O,False
8,for,O,False
8,a,O,False
8,soft,O,False
8,Open,O,False
8,face,O,False
8,cardigan,O,False
8,w,O,False
8,no,O,False
8,buttons.,I-ATTRIBUTE,True
9,hi,O,False
9,do,O,False
9,you,O,False
9,carry,O,False
9,any,O,False
9,oval,O,False
9,tubs,O,False
9,in,O,False
9,a,O,False
9,matte,I-COLOUR,False
9,white,I-COLOUR,False
9,finish,I-COLOUR,False
9,or,O,False
9,not,O,False
9,too,O,True
9,much,O,True
9,of,O,True
9,gloss?,O,True
9,i,O,False
9,know,O,False
9,they,O,False
9,make,O,False
9,solid,O,False
9,surface,O,False
9,but,O,False
9,higher,O,False
9,prices.,O,False
9,thank,O,False
9,you,O,False
10,Do,O,False
10,you,O,False
10,not,O,False
10,have,O,True
10,alcove,I-PRODUCT,True
10,shower,I-PRODUCT,True
10,walls?,I-PRODUCT,True
11,Hi,O,False
11,I'm,O,False
11,considering,O,False
11,a,O,False
11,bathtub,I-PRODUCT,False
11,swivel,I-PRODUCT,False
11,panel.,I-PRODUCT,False
11,I,O,False
11,assume,O,False
11,it,O,False
11,doesn't,O,False
11,matter,O,True
11,which,O,True
11,way,O,True
11,the,O,True
11,bathtub,O,True
11,is,O,True
11,facing?,O,True
12,looking,O,False
12,for,O,False
12,a,O,False
12,alcove,I-PRODUCT,False
12,shower,I-PRODUCT,False
12,base,I-PRODUCT,False
12,.,O,False
12,not,O,False
12,so,O,True
12,much,O,True
12,$,O,True
12,lol,O,True
13,Do,O,False
13,you,O,False
13,have,O,False
13,a,O,False
13,vanity,I-PRODUCT,False
13,tops,O,False
13,or,O,False
13,wall,I-ATTRIBUTE,False
13,mount,I-ATTRIBUTE,False
13,sink,I-PRODUCT,False
13,without,O,False
13,faucet,I-ATTRIBUTE,True
13,holes?,I-ATTRIBUTE,True
14,Hi!!,O,False
14,I'm,O,False
14,looking,O,False
14,for,O,False
14,a,O,False
14,"60""",I-SIZE,False
14,wide,I-SIZE,False
14,tub,I-PRODUCT,False
14,but,O,False
14,a,O,False
14,soaker,I-PRODUCT,False
14,type,I-PRODUCT,False
14,thats,I-PRODUCT,False
14,deeper,I-PRODUCT,False
14,than,O,False
14,a,O,False
14,regular,O,False
14,tub,O,False
14,do,O,False
14,you,O,False
14,have,O,False
14,this,O,False
14,type?,O,False
14,I,O,False
14,don't,O,False
14,see,O,True
14,anything,O,True
14,deep,O,True
14,enough,O,True
14,on,O,True
14,your,O,True
14,site,O,True
15,Ok,O,False
15,thanks.,O,False
15,I'm,O,False
15,looking,O,False
15,for,O,False
15,a,O,False
15,pure,O,False
15,white,O,False
15,alcove,O,False
15,"bathtub,",O,False
15,not,O,False
15,American,O,True
15,standard,I-ATTRIBUTE,True
15,or,O,True
15,any,O,True
15,off,O,True
15,whites.,O,True
15,Is,O,False
15,there,O,False
15,one,O,False
15,you,O,False
15,could,O,False
15,recommend,O,False
16,"Hi,",O,False
16,Do,O,False
16,you,O,False
16,have,O,False
16,a,O,False
16,navy,O,False
16,mirror,O,False
16,size,I-SIZE,False
16,60x31.,I-SIZE,False
16,You,O,False
16,have,O,False
16,it,O,False
16,for,O,False
16,the,O,False
16,gold,O,False
16,and,O,False
16,black,O,False
16,but,O,False
16,i,O,False
16,don't,O,False
16,want,O,True
16,it,O,True
16,for,O,True
16,the,O,True
16,navy.,O,True
17,"Hi,",O,False
17,I,O,False
17,am,O,False
17,looking,O,False
17,for,O,False
17,a,O,False
17,floating,I-ATTRIBUTE,False
17,vanity,I-PRODUCT,False
17,with,O,False
17,integrated,I-ATTRIBUTE,False
17,sink,I-ATTRIBUTE,False
17,&,I-ATTRIBUTE,False
17,counter,I-PRODUCT,False
17,top,I-PRODUCT,False
17,with,O,False
17,no,O,False
17,drill,I-ATTRIBUTE,True
17,holes,O,True
17,for,O,True
17,the,O,True
17,faucet,I-PRODUCT,True
17,as,O,False
17,our,O,False
17,faucets,O,False
17,are,O,False
17,wall,I-ATTRIBUTE,False
17,mounted.,I-ATTRIBUTE,False
17,Do,O,False
17,you,O,False
17,sell,O,False
17,theM,O,False
18,I,O,False
18,am,O,False
18,looking,O,False
18,for,O,False
18,soaker,I-PRODUCT,False
18,tub,I-PRODUCT,False
18,but,O,False
18,do,O,False
18,not,O,False
18,want,O,True
18,stand,O,True
18,alone.,O,True
18,I,O,False
18,am,O,False
18,replacing,O,False
18,my,O,False
18,oval,O,False
18,jacuzzi,O,False
19,Where,O,False
19,is,O,False
19,the,O,False
19,mirror,O,False
19,on,O,False
19,here.,O,False
19,I,O,False
19,don't,O,False
19,want,O,True
19,linen,I-PRODUCT,True
19,cabinet,I-PRODUCT,True
20,"Hello,",O,False
20,I,O,False
20,need,O,False
20,a,O,False
20,standup,I-ATTRIBUTE,False
20,shower,I-PRODUCT,False
20,door,I-PRODUCT,False
20,"only,",O,False
20,no,O,False
20,side,I-ATTRIBUTE,True
20,panels.,I-ATTRIBUTE,True
20,41,I-SIZE,False
20,inches,I-SIZE,False
20,wide,I-SIZE,False
21,I'm,O,False
21,looking,O,False
21,for,O,False
21,a,O,False
21,double,I-ATTRIBUTE,False
21,sink,I-PRODUCT,False
21,kitchen,I-PRODUCT,False
21,close,O,False
21,to,O,False
21,52,I-SIZE,False
21,inches,I-SIZE,False
21,no,O,False
21,bigger,I-SIZE,True
21,with,O,True
21,countertop,I-ATTRIBUTE,True
22,I'm,O,False
22,looking,O,False
22,for,O,False
22,bypass,O,False
22,shower,I-PRODUCT,False
22,doors,I-PRODUCT,False
22,in,O,False
22,chrome,I-MATERIAL,False
22,with,O,False
22,clear,I-MATERIAL,False
22,glass.,I-MATERIAL,False
22,The,O,False
22,opening,O,False
22,would,O,False
22,be,O,False
22,for,O,False
22,a,O,False
22,"59""",I-SIZE,False
22,width,I-SIZE,False
22,and,O,False
22,the,O,False
22,height,I-SIZE,False
22,I'm,O,False
22,looking,O,False
22,for,O,False
22,is,O,False
22,"76"".",I-SIZE,False
22,I,O,False
22,don't,O,False
22,want,O,True
22,any,O,True
