-DOCSTART-	-X-	O	
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
black	-X-	_	B-COLOUR
gloss	-X-	_	B-TEXTURE
33	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
fireclay	-X-	_	B-PRODUCT
apron	-X-	_	I-PRODUCT
sink	-X-	_	I-PRODUCT
			
Looking	-X-	_	O
for	-X-	_	O
pre	-X-	_	B-PRODUCT
workout	-X-	_	I-PRODUCT
Pump	-X-	_	I-PRODUCT
addict	-X-	_	I-PRODUCT
instead	-X-	_	O
of	-X-	_	O
Karbolyn	-X-	_	B-N-PRODUCT
Hydrate	-X-	_	I-N-PRODUCT
Wich	-X-	_	O
one	-X-	_	O
is	-X-	_	O
better?	-X-	_	O
			
i	-X-	_	O
need	-X-	_	O
a	-X-	_	O
48	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
glass	-X-	_	B-MATERIAL
sliding	-X-	_	B-PRODUCT
goof	-X-	_	I-PRODUCT
and	-X-	_	O
a	-X-	_	O
shower	-X-	_	B-PRODUCT
pan	-X-	_	I-PRODUCT
system	-X-	_	I-PRODUCT
for	-X-	_	O
500.99	-X-	_	B-PRICE
or	-X-	_	I-PRICE
less	-X-	_	I-PRICE
			
Hello,	-X-	_	O
do	-X-	_	O
any	-X-	_	O
of	-X-	_	O
your	-X-	_	O
free	-X-	_	B-ATTRIBUTE
standing	-X-	_	I-ATTRIBUTE
tubs	-X-	_	B-PRODUCT
have	-X-	_	O
a	-X-	_	O
matte	-X-	_	B-TEXTURE
white	-X-	_	B-COLOUR
finish	-X-	_	O
instead	-X-	_	O
of	-X-	_	O
a	-X-	_	O
glossy	-X-	_	B-N-TEXTURE
finish?	-X-	_	O
			
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
24	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
white	-X-	_	B-COLOUR
mirror	-X-	_	B-PRODUCT
that	-X-	_	O
is	-X-	_	O
freestanding	-X-	_	B-ATTRIBUTE
and	-X-	_	O
reasonably	-X-	_	B-PRICE
priced.	-X-	_	I-PRICE
			
Does	-X-	_	O
the	-X-	_	O
linen	-X-	_	B-MATERIAL
add	-X-	_	O
cotton	-X-	_	B-MATERIAL
duvet	-X-	_	B-PRODUCT
cover	-X-	_	I-PRODUCT
come	-X-	_	O
in	-X-	_	O
King?	-X-	_	B-SIZE
I	-X-	_	O
saw	-X-	_	O
it	-X-	_	O
in	-X-	_	O
the	-X-	_	O
store	-X-	_	O
but	-X-	_	O
I	-X-	_	O
don't	-X-	_	O
see	-X-	_	O
the	-X-	_	O
king	-X-	_	B-SIZE
size	-X-	_	I-SIZE
online	-X-	_	O
?	-X-	_	O
			
Hi	-X-	_	O
there.	-X-	_	O
I'm	-X-	_	O
looking	-X-	_	O
to	-X-	_	O
buy	-X-	_	O
some	-X-	_	O
throw	-X-	_	B-PRODUCT
blankets.	-X-	_	I-PRODUCT
Your	-X-	_	O
website	-X-	_	O
states	-X-	_	O
that	-X-	_	O
the	-X-	_	O
underside	-X-	_	O
of	-X-	_	O
the	-X-	_	O
Boucle	-X-	_	B-MATERIAL
wool-like	-X-	_	I-MATERIAL
throw	-X-	_	B-PRODUCT
is	-X-	_	O
very	-X-	_	O
soft.	-X-	_	B-TEXTURE
I	-X-	_	O
would	-X-	_	O
like	-X-	_	O
to	-X-	_	O
know	-X-	_	O
if	-X-	_	O
the	-X-	_	O
wool-like	-X-	_	B-MATERIAL
top	-X-	_	O
side	-X-	_	O
is	-X-	_	O
soft	-X-	_	B-TEXTURE
as	-X-	_	O
well,	-X-	_	O
or	-X-	_	O
if	-X-	_	O
it	-X-	_	O
is	-X-	_	O
scratchy.	-X-	_	B-N-TEXTURE
I	-X-	_	O
have	-X-	_	O
hypersensitive	-X-	_	O
skin	-X-	_	O
